str,en,th,zh,my,vi,km,id,ko
en,en,th,zh,my,vi,km,id,ko
Minimum order amount allowed is,Minimum order amount allowed is,สั่งซื้อขั้นต่ำที่ยอด,最小訂購金額為,ခွင့်ပြုထားသော အနည်းဆုံး ကုန်ပစ္စည်း အမှာစာပမာဏမှာ,Tổng đơn hàng tối thiểu là,ចំនួនទឹកប្រាក់អប្បបរមាសម្រាប់ការបញ្ជាទិញដែលអនុញ្ញាតគឺ,Jumlah pesanan minimum,Minimum order amount allowed is
Prices shown are exclusive of tax,Prices shown are exclusive of tax,ราคาไม่รวมภาษี,價格為含稅價,ပြထားသောစျေးနှုန်းများသည်အကောက်ခွန် မပါဝင်ပါ,Giá hiển thị trước thuế và sau thuế,តម្លៃមិនរាប់បញ្ចូលពន្ធទេ,Harga yang ditampilkan tidak termasuk pajak,Prices shown are exclusive of tax
Prices shown are inclusive of tax,Prices shown are inclusive of tax,ราคาที่แสดงรวมภาษีแล้ว,價格已含稅,Prices shown are inclusive of tax,Giá hiển thị đã bao gồm thuế,តម្លៃដែលបានបង្ហាញរួមបញ្ចូលទាំងតំលៃពន្ធ,Harga yang ditampilkan termasuk pajak,Prices shown are inclusive of tax
A new version of {{appName}} is available!,A new version of {{appName}} is available!,A new version of {{appName}} is available!,{{appName}} 有新版本了!,A new version of {{appName}} is available!,A new version of {{appName}} is available!,A new version of {{appName}} is available!,Versi baru {{appName}} tersedia!,A new version of {{appName}} is available!
Accept,Accept,ยอมรับ,同意,လက်ခံသည်,Chấp nhận,ទទួលយក,Terima kasih,Accept
Acceptable Use Policy,Acceptable Use Policy,นโยบายความมั่นคงปลอดภัยระบบสารสนเทศ,同意使用政策,Acceptable Use ပေါ်လစီ,Chấp nhận sử dụng theo Chính sách,គោលការណ៍ប្រើប្រាស់ដែលអាចទទួលយកបាន,Kebijakan peraturan penggunaan,Acceptable Use Policy
Account,Account,บัญชี,帳戶,အကောင့်,Tài khoản,គណនី,Akun,Account
Account is Expired,Account is Expired,บัญชีหมดอายุ,帳戶已過期,အကောင့်သည်သင့်အကောင့်အားသက်တမ်းကြာမြင်သည်,Tài khoản đã hết hạn,គណនីបានផុតកំណត់,Akun Sudah Kedaluwarsa,계정이 만료되었습니다.
